parent_sku,min_qty,max_qty,unit_price
CSUN-0226,50,,300
CSUN-0306,25,,110
CSUN-3414,25,,525
URBAN-322,25,,199
CSUN-0124,25,,275
CSUN-1556,25,,575
CSUN-0315,25,,100
CSUN-0090,100,,1000
CSUN-0139,25,,50
CSUN-3417,25,,110
CSUN-1488,50,,75
CSUN-1490,50,,50
URBAN-156,25,,499
CSUN-3481,25,,325
CSUN-3527,25,,125
CSUN-0285,500,,50
CSUN-1484,50,,75
CSUN-1311,25,,275
CSUN-0296,25,,725
CSUN-1487,50,,75
CSUN-3584,25,,110
CSUN-3494,25,,175
CSUN-3568,25,,275
CSUN-0277,25,,1000
CSUN-0063,500,,825
CSUN-0702,25,,625
CSUN-0265,25,,1225
CSUN-1527,100,,975
CSUN-0273,50,,1750
CSUN-0082,100,,1500
ADAL-045,500,,225
CSUN-0344,25,,575
ADAL-012,25,,225
CSUN-0081,100,,1500
CSUN-3348,25,,5600
CSUN-1282,25,,175
CSUN-0353,25,,475
SATR-003,25,,1200
CSUN-0901,25,,125
CSUN-3428,100,,1300
CSUN-1482,50,,75
CSUN-1281,25,,125
Infant Bodysuit - Set of 1,50,,1100
Bib  Gucci,50,,525
ZKMPL-001,100,,725
CSUN-1133,25,,700
URBAN-296,25,,1250
CSUN-0177,50,,1375
CSUN-3478,25,,825
CSUN-0698,25,,825
CSUN-0307,500,,3750
CSUN-0948,25,,750
CSUN-0905,25,,325
CSUN-1165,25,,625
CSUN-1485,50,,75
760038A,500,,900
CSUN-0908,25,,325
UG 02,25,,550
CSUN-0064,500,,175
CSUN-0350,25,,1900
ADAL-048,25,,1550
CSUN-0123,25,,1000
URBAN-210,25,,399
CSUN-0941,500,,75
CSUN-3512,25,,2500
CSUN-1572,100,,1050
UG-DB65,25,,599
CSUN-0356,100,,2750
CSUN-0314,25,,1500
CSUN-0978,100,,1050
CSUN-1015,100,,1425
CSUN-0357,100,,2750
CSUN-1220,50,,2700
CSUN-3480,25,,325
CSUN-3629,25,,325
CSUN-0875,25,,325
RARE-071,25,,3999
JAJO-089,25,,4499
SKEC-001,10,,1999
ARTIS-001,25,,4199
SWISS-037,25,,8999
BOTALL-015,25,,3299
NA120/00,25,,5995
OTOMM-013,25,,5499
COLU-001,25,,4499
OW-GPOMNPKBLK,100,,6999
MOKO-018,25,,8999
6111990716,25,,6999
CSUN-1429,500,,10556
MONT-039,25,,3999
OW-NMDBLK,100,,5299
OW-ZPBLU,100,,4999
BACK-060,25,,2899
FW2 (1) XX 001,25,,8800
AQUA-001,25,,4499
JBL-051,25,,39999
G2932251-5,25,,3895
CSUN-1290,100,,1000
CSUN-3382,100,,3200
CSUN-0002,50,,2625
CSUN-3390,100,,5475
CSUN-3440,100,,3800
CSUN-3652,100,,7250
CSUN-0631,25,,325
CSUN-1538,100,,3800
CSUN-0379,50,,2475
CSUN-1580,25,,2700
CSUN-3350,25,,3550
CSUN-3340,25,,2800
CSUN-3668,50,,5250
CSUN-0345,25,,2750
CSUN-1610,25,,575
Smoor Cookies,25,,170
Phool Incense Cones,50,,145
CSUN-1312,50,,275
Smoor Strawberrry Nougat Bar Pack of 15 Bar Gift Pack (15 x 24 g),25,,449
Phool Handmade Ceramic Lotus Diyas,50,,185
CSUN-3671,100,,700
OTOMM-015,25,,89900
NA,25,,50
