variant_sku,parent_sku,size,stock_qty,active
CSUN-0226,CSUN-0226,325 ml,1,TRUE
CSUN-0306,CSUN-0306,OS,1,TRUE
CSUN-3414,CSUN-3414,OS,1,TRUE
URBAN-322,URBAN-322,350 ml,1,TRUE
CSUN-0124,CSUN-0124,NA,1,TRUE
CSUN-1556,CSUN-1556,NA,1,TRUE
CSUN-0315,CSUN-0315,OS,1,TRUE
CSUN-0090_XS,CSUN-0090,XS,1,TRUE
CSUN-0090_S,CSUN-0090,S,1,TRUE
CSUN-0090_M,CSUN-0090,M,1,TRUE
CSUN-0090_L,CSUN-0090,L,1,TRUE
CSUN-0090_XL,CSUN-0090,XL,1,TRUE
CSUN-0090_2XL,CSUN-0090,2XL,1,TRUE
CSUN-0090_3XL,CSUN-0090,3XL,1,TRUE
CSUN-0139,CSUN-0139,OS,1,TRUE
CSUN-3417,CSUN-3417,OS,1,TRUE
CSUN-1488,CSUN-1488,NA,1,TRUE
CSUN-1488,CSUN-1488,NA,40,TRUE
CSUN-1490,CSUN-1490,NA,1,TRUE
URBAN-156,URBAN-156,750 ml,1,TRUE
CSUN-3481,CSUN-3481,OS,1,TRUE
CSUN-3527,CSUN-3527,OS,1,TRUE
CSUN-0285,CSUN-0285,NA,723,TRUE
CSUN-1484,CSUN-1484,NA,1,TRUE
CSUN-1311,CSUN-1311,NA,1,TRUE
CSUN-0296,CSUN-0296,NA,1,TRUE
CSUN-1487,CSUN-1487,NA,32,TRUE
CSUN-3584,CSUN-3584,OS,1,TRUE
CSUN-3494,CSUN-3494,OS,1,TRUE
CSUN-3568,CSUN-3568,OS,1,TRUE
CSUN-0277,CSUN-0277,NA,35,TRUE
CSUN-0063,CSUN-0063,250 ml,1,TRUE
CSUN-0702,CSUN-0702,OS,1,TRUE
CSUN-0265,CSUN-0265,NA,1,TRUE
CSUN-1527_XS,CSUN-1527,XS,1,TRUE
CSUN-1527_S,CSUN-1527,S,1,TRUE
CSUN-1527_M,CSUN-1527,M,1,TRUE
CSUN-1527_L,CSUN-1527,L,1,TRUE
CSUN-1527_XL,CSUN-1527,XL,1,TRUE
